"","vote_2020","gender","education","state","household_income","race_ethnicity","census_region","employment","vote_intention","registration","age_group"
"127","0","Female","Completed some college, but no degree","IL","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"128","0","Female","High school graduate","CT","Less than $14,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"129","0","Female","Completed some college, but no degree","WI","$55,000 to $59,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"130","0","Female","College Degree (such as B.A., B.S.)","FL","$45,000 to $49,999","White","South","Not in labor force","Yes, I will vote","Registered","ages30to44"
"131","0","Female","Completed some college, but no degree","VT","$15,000 to $19,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"132","0","Male","College Degree (such as B.A., B.S.)","NY","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"133","1","Female","High school graduate","KY","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"134","1","Female","Completed some college, but no degree","MD","$25,000 to $29,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"135","0","Female","Masters degree","MO","$40,000 to $44,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"136","1","Female","Masters degree","FL","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"137","0","Female","Completed some college, but no degree","MT","$95,000 to $99,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"138","0","Female","Completed some high school","WI","$15,000 to $19,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"139","1","Female","Completed some graduate, but no degree","IL","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"140","0","Female","Completed some college, but no degree","MO","$150,000 to $174,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"141","1","Female","Completed some college, but no degree","TX","$70,000 to $74,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"142","0","Male","Completed some college, but no degree","TN","$20,000 to $24,999","Black, or African American","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"143","0","Female","Associate Degree","UT","$55,000 to $59,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"144","0","Male","Associate Degree","MN","$45,000 to $49,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"145","0","Female","College Degree (such as B.A., B.S.)","SC","$35,000 to $39,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"146","1","Female","Associate Degree","GA","$50,000 to $54,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"147","0","Female","Masters degree","CA","$35,000 to $39,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"148","1","Female","College Degree (such as B.A., B.S.)","VA","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"149","1","Female","High school graduate","WV","$70,000 to $74,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"150","0","Male","Completed some college, but no degree","FL","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"151","1","Female","College Degree (such as B.A., B.S.)","NE","$35,000 to $39,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"152","1","Female","Other post high school vocational training","MI","$15,000 to $19,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"153","0","Female","Associate Degree","AZ","$70,000 to $74,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"154","1","Female","High school graduate","TN","$25,000 to $29,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"155","0","Male","College Degree (such as B.A., B.S.)","MA","$30,000 to $34,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages45to59"
"156","1","Female","Completed some college, but no degree","IL","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"157","0","Female","College Degree (such as B.A., B.S.)","CA","$45,000 to $49,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"158","0","Female","High school graduate","NY","$30,000 to $34,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"159","1","Male","High school graduate","CO","$15,000 to $19,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"160","0","Female","College Degree (such as B.A., B.S.)","HI","$150,000 to $174,999","Japanese","West","Employed","Yes, I will vote","Registered","ages30to44"
"161","0","Female","Masters degree","CA","$175,000 to $199,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"162","1","Male","College Degree (such as B.A., B.S.)","CA","$55,000 to $59,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"163","1","Female","Completed some college, but no degree","NY","$35,000 to $39,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"164","0","Male","Completed some college, but no degree","DC","$45,000 to $49,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages30to44"
"165","0","Female","Masters degree","FL","$70,000 to $74,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"166","1","Male","Masters degree","TX","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"167","1","Male","Masters degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"168","1","Male","Associate Degree","GA","$20,000 to $24,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"169","0","Male","High school graduate","NY","$70,000 to $74,999","Black, or African American","Northeast","Not in labor force","Yes, I will vote","Registered","ages18to29"
"170","0","Female","College Degree (such as B.A., B.S.)","OH","$45,000 to $49,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"171","0","Male","Doctorate degree","CO","$200,000 to $249,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"172","0","Male","College Degree (such as B.A., B.S.)","NJ","$25,000 to $29,999","White","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"173","0","Male","High school graduate","IL","$40,000 to $44,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"174","1","Male","College Degree (such as B.A., B.S.)","MN","$50,000 to $54,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"175","1","Female","High school graduate","MO","$20,000 to $24,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"176","0","Female","Masters degree","CA","$80,000 to $84,999","Other","West","Employed","Yes, I will vote","Registered","ages30to44"
"177","0","Female","Completed some college, but no degree","CA","$100,000 to $124,999","White","West","Not in labor force","Yes, I will vote","Registered","ages18to29"
"178","1","Male","College Degree (such as B.A., B.S.)","PA","$70,000 to $74,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"179","1","Male","Doctorate degree","CA","$200,000 to $249,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"180","0","Male","Masters degree","AZ","$35,000 to $39,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"181","0","Male","Completed some high school","MO","$25,000 to $29,999","Black, or African American","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"182","0","Male","Completed some college, but no degree","WI","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"183","1","Male","College Degree (such as B.A., B.S.)","NY","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"184","0","Male","Masters degree","PA","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"185","0","Male","High school graduate","NY","Less than $14,999","White","Northeast","Employed","Not sure","Registered","ages18to29"
"186","0","Female","College Degree (such as B.A., B.S.)","MN","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"187","0","Male","College Degree (such as B.A., B.S.)","NH","$30,000 to $34,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"188","0","Female","High school graduate","MI","$35,000 to $39,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"189","0","Female","Completed some high school","CO","Less than $14,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"190","1","Male","Masters degree","VA","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"191","0","Female","Completed some high school","MI","Less than $14,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"192","0","Female","Completed some college, but no degree","PA","$50,000 to $54,999","Other asian or pacific islander","Northeast","Not in labor force","Yes, I will vote","Registered","ages18to29"
"193","0","Female","Masters degree","CA","$100,000 to $124,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"194","1","Female","High school graduate","AZ","$20,000 to $24,999","White","West","Not in labor force","Not sure","Registered","ages60plus"
"195","1","Male","College Degree (such as B.A., B.S.)","KY","$250,000 and above","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"196","0","Female","College Degree (such as B.A., B.S.)","NV","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"197","0","Male","Completed some college, but no degree","IL","$15,000 to $19,999","White","Midwest","Employed","Yes, I will vote","Registered","ages18to29"
"198","0","Male","Masters degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"199","0","Female","Completed some graduate, but no degree","GA","$65,000 to $69,999","Other","South","Employed","Yes, I will vote","Registered","ages18to29"
"200","0","Male","Masters degree","VA","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"201","1","Female","College Degree (such as B.A., B.S.)","IN","$95,000 to $99,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"202","0","Male","Completed some high school","MD","$35,000 to $39,999","Black, or African American","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"203","0","Female","Associate Degree","CA","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"204","0","Male","Masters degree","NJ","$250,000 and above","Chinese","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"205","0","Male","Associate Degree","FL","$30,000 to $34,999","White","South","Not in labor force","Yes, I will vote","Registered","ages30to44"
"206","1","Male","Completed some high school","TX","Less than $14,999","Other asian or pacific islander","South","Employed","Yes, I will vote","Registered","ages30to44"
"207","1","Male","Doctorate degree","WI","$200,000 to $249,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"208","0","Male","High school graduate","FL","Less than $14,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"209","0","Male","Completed some college, but no degree","MI","Less than $14,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"210","0","Male","Associate Degree","CA","$40,000 to $44,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"211","0","Male","Completed some college, but no degree","IA","Less than $14,999","White","Midwest","Employed","Yes, I will vote","Registered","ages18to29"
"212","1","Male","Masters degree","OH","$200,000 to $249,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"213","0","Male","Completed some high school","MI","$25,000 to $29,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"214","0","Female","College Degree (such as B.A., B.S.)","MA","$20,000 to $24,999","White","Northeast","Unemployed or temporarily on layoff","Not sure","Registered","ages18to29"
"215","1","Male","Doctorate degree","NJ","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"216","0","Female","Masters degree","CA","$75,000 to $79,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"217","1","Male","Completed some high school","TN","Less than $14,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"218","0","Male","Masters degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
